+--------+-------------+-------------+-------------+----------------+
|   Z    |      Up     |      U      |      F      |     Div F      |
+--------+-------------+-------------+-------------+----------------+
|   0    |  2.5617e-06 | 3.54379e-07 |   0.000000  |  13734.248432  |
| 0.0001 |  2.5617e-06 | 3.54379e-07 |   0.686738  |  13734.248432  |
| 0.0002 |  2.5617e-06 | 3.54379e-07 |   1.922826  |  10987.501524  |
| 0.0003 |  2.5617e-06 | 3.54379e-07 |   3.001956  |  10595.109012  |
| 0.0004 |  2.5617e-06 | 3.54379e-07 |   4.054927  |  10464.312301  |
| 0.0005 |  2.5617e-06 | 3.54379e-07 |   5.098386  |  10404.858076  |
| 0.0006 |  2.5617e-06 | 3.54379e-07 |   6.137271  |  10372.844995  |
| 0.0007 |  2.5617e-06 | 3.54379e-07 |   7.173595  |  10353.637010  |
| 0.0008 |  2.5617e-06 | 3.54379e-07 |   8.208337  |  10341.208995  |
| 0.0009 |  2.5617e-06 | 3.54379e-07 |   9.242033  |  10332.705276  |
| 0.001  |  2.5617e-06 | 3.54379e-07 |  10.275000  |  10326.631142  |
| 0.0011 |  2.5617e-06 | 3.54379e-07 |  11.307439  |  10322.141905  |
| 0.0012 |  2.5617e-06 | 3.54379e-07 |  12.339482  |  10318.729799  |
| 0.0013 |  2.5617e-06 | 3.54379e-07 |  13.371222  |  10316.076620  |
| 0.0014 |  2.5617e-06 | 3.54379e-07 |  14.402725  |  10313.971705  |
| 0.0015 |  2.5617e-06 | 3.54379e-07 |  15.434037  |  10312.274501  |
| 0.0016 |  2.5617e-06 | 3.54379e-07 |  16.465195  |  10310.886312  |
| 0.0017 |  2.5617e-06 | 3.54379e-07 |  17.496226  |  10309.736011  |
| 0.0018 |  2.5617e-06 | 3.54379e-07 |  18.527152  |  10308.772209  |
| 0.0019 |  2.5617e-06 | 3.54378e-07 |  19.557988  |  10307.957129  |
| 0.002  |  2.5617e-06 | 3.54378e-07 |  20.588749  |  10307.260822  |
| 0.0021 |  2.5617e-06 | 3.54378e-07 |  21.619445  |  10306.662189  |
| 0.0022 |  2.5617e-06 | 3.54378e-07 |  22.650086  |  10306.143533  |
| 0.0023 |  2.5617e-06 | 3.54378e-07 |  23.680677  |  10305.690900  |
| 0.0024 |  2.5617e-06 | 3.54378e-07 |  24.711226  |  10305.293740  |
| 0.0025 |  2.5617e-06 | 3.54378e-07 |  25.741738  |  10304.943545  |
| 0.0026 |  2.5617e-06 | 3.54378e-07 |  26.772217  |  10304.633508  |
| 0.0027 |  2.5617e-06 | 3.54378e-07 |  27.802667  |  10304.356143  |
| 0.0028 |  2.5617e-06 | 3.54378e-07 |  28.833090  |  10304.108726  |
| 0.0029 |  2.5617e-06 | 3.54378e-07 |  29.863490  |  10303.887174  |
| 0.003  |  2.5617e-06 | 3.54378e-07 |  30.893868  |  10303.687063  |
| 0.0031 |  2.5617e-06 | 3.54378e-07 |  31.924228  |  10303.505669  |
| 0.0032 |  2.5617e-06 | 3.54377e-07 |  32.954570  |  10303.341632  |
| 0.0033 |  2.5617e-06 | 3.54377e-07 |  33.984897  |  10303.192229  |
| 0.0034 |  2.5617e-06 | 3.54377e-07 |  35.015210  |  10303.055759  |
| 0.0035 |  2.5617e-06 | 3.54377e-07 |  36.045509  |  10302.930860  |
| 0.0036 |  2.5617e-06 | 3.54377e-07 |  37.075796  |  10302.816851  |
| 0.0037 |  2.5617e-06 | 3.54377e-07 |  38.106073  |  10302.711350  |
| 0.0038 |  2.5617e-06 | 3.54377e-07 |  39.136339  |  10302.614698  |
| 0.0039 |  2.5617e-06 | 3.54377e-07 |  40.166596  |  10302.525193  |
| 0.004  |  2.5617e-06 | 3.54377e-07 |  41.196844  |  10302.442154  |
| 0.0041 |  2.5617e-06 | 3.54376e-07 |  42.227085  |  10302.365921  |
| 0.0042 |  2.5617e-06 | 3.54376e-07 |  43.257318  |  10302.294793  |
| 0.0043 |  2.5617e-06 | 3.54376e-07 |  44.287544  |  10302.228090  |
| 0.0044 |  2.5617e-06 | 3.54376e-07 |  45.317764  |  10302.167172  |
| 0.0045 |  2.5617e-06 | 3.54376e-07 |  46.347977  |  10302.109317  |
| 0.0046 |  2.5617e-06 | 3.54376e-07 |  47.378186  |  10302.055547  |
| 0.0047 |  2.5617e-06 | 3.54376e-07 |  48.408389  |  10302.005179  |
| 0.0048 |  2.5617e-06 | 3.54375e-07 |  49.438587  |  10301.958215  |
| 0.0049 |  2.5617e-06 | 3.54375e-07 |  50.468781  |  10301.914313  |
| 0.005  |  2.5617e-06 | 3.54375e-07 |  51.498970  |  10301.872794  |
| 0.0051 |  2.5617e-06 | 3.54375e-07 |  52.529155  |  10301.833658  |
| 0.0052 |  2.5617e-06 | 3.54375e-07 |  53.559337  |  10301.797924  |
| 0.0053 |  2.5617e-06 | 3.54375e-07 |  54.589515  |  10301.763212  |
| 0.0054 |  2.5617e-06 | 3.54374e-07 |  55.619690  |  10301.730201  |
| 0.0055 |  2.5617e-06 | 3.54374e-07 |  56.649861  |  10301.699913  |
| 0.0056 |  2.5617e-06 | 3.54374e-07 |  57.680030  |  10301.670987  |
| 0.0057 |  2.5617e-06 | 3.54374e-07 |  58.710195  |  10301.643762  |
| 0.0058 |  2.5617e-06 | 3.54374e-07 |  59.740358  |  10301.617898  |
| 0.0059 |  2.5617e-06 | 3.54373e-07 |  60.770519  |  10301.593396  |
| 0.006  |  2.5617e-06 | 3.54373e-07 |  61.800677  |  10301.570255  |
| 0.0061 |  2.5617e-06 | 3.54373e-07 |  62.830833  |  10301.548476  |
| 0.0062 |  2.5617e-06 | 3.54373e-07 |  63.860987  |  10301.527377  |
| 0.0063 |  2.5617e-06 | 3.54373e-07 |  64.891139  |  10301.507980  |
| 0.0064 |  2.5617e-06 | 3.54373e-07 |  65.921289  |  10301.489264  |
| 0.0065 |  2.5617e-06 | 3.54372e-07 |  66.951437  |  10301.471568  |
| 0.0066 |  2.5617e-06 | 3.54372e-07 |  67.981583  |  10301.454554  |
| 0.0067 |  2.5617e-06 | 3.54372e-07 |  69.011728  |  10301.438560  |
| 0.0068 |  2.5617e-06 | 3.54372e-07 |  70.041871  |  10301.422907  |
| 0.0069 |  2.5617e-06 | 3.54371e-07 |  71.072012  |  10301.409296  |
